ID,LABELS,X.COR,Y.COR
AD19-011,LM8,3477,2458
AD19-011,LM9,3354,2416
AD19-011,LM10,3115,2397
AD19-011,LM11,2711,2476
AD19-011,LM12,2613,2507
AD19-011,LM13,2853,2607
AD19-011,LM14,2882,2529
AD19-011,LM15,2506,2686
AD19-011,LM16,2626,2683
AD19-012,LM1,2384,3161
AD19-012,LM2,2609,3227
AD19-012,LM3,2973,3300
AD19-012,LM4,3227,3229
AD19-012,LM5,3507,3208
AD19-012,LM6,3526,3101
AD19-012,LM7,3502,2992
AD19-012,LM8,3211,2985
AD19-012,LM9,3130,2943
AD19-012,LM10,2935,2894
AD19-012,LM11,2590,2956
AD19-012,LM12,2531,2988
AD19-012,LM13,2734,3104
AD19-012,LM14,2750,3036
AD19-012,LM15,2465,3142
AD19-012,LM16,2565,3141
AD19-013,LM1,2358,3270
AD19-013,LM2,2571,3342
AD19-013,LM3,2971,3410
AD19-013,LM4,3274,3338
AD19-013,LM5,3539,3315
AD19-013,LM6,3552,3207
AD19-013,LM7,3533,3095
AD19-013,LM8,3208,3082
AD19-013,LM9,3113,3048
AD19-013,LM10,2915,3017
AD19-013,LM11,2563,3087
AD19-013,LM12,2508,3114
AD19-013,LM13,2710,3217
AD19-013,LM14,2710,3140
AD19-013,LM15,2430,3262
AD19-013,LM16,2529,3260
AD19-014,LM1,1883,1139
AD19-014,LM2,2130,1267
AD19-014,LM3,2594,1400
AD19-014,LM4,2977,1340
AD19-014,LM5,3370,1318
AD19-014,LM6,3408,1165
AD19-014,LM7,3395,1012
AD19-014,LM8,2952,974
AD19-014,LM9,2854,928
AD19-014,LM10,2616,865
AD19-014,LM11,2181,926
AD19-014,LM12,2104,955
AD19-014,LM13,2335,1060
AD19-014,LM14,2368,974
AD19-014,LM15,1980,1119
AD19-014,LM16,2098,1132
AD19-015,LM1,2133,2826
AD19-015,LM2,2411,3014
AD19-015,LM3,2824,3175
AD19-015,LM4,3229,3171
AD19-015,LM5,3688,3233
AD19-015,LM6,3728,3089
AD19-015,LM7,3699,2934
AD19-015,LM8,3229,2828
AD19-015,LM9,3106,2765
AD19-015,LM10,2920,2674
AD19-015,LM11,2458,2664
AD19-015,LM12,2403,2666
AD19-015,LM13,2630,2846
AD19-015,LM14,2675,2757
AD19-015,LM15,2255,2855
AD19-015,LM16,2383,2864
AD19-016,LM1,1872,1549
AD19-016,LM2,2086,1616
AD19-016,LM3,2459,1709
AD19-016,LM4,2741,1653
AD19-016,LM5,3041,1627
AD19-016,LM6,3072,1511
AD19-016,LM7,3041,1396
AD19-016,LM8,2718,1372
AD19-016,LM9,2638,1336
AD19-016,LM10,2441,1273
AD19-016,LM11,2107,1347
AD19-016,LM12,2037,1370
AD19-016,LM13,2227,1448
AD19-016,LM14,2239,1382
AD19-016,LM15,1940,1514
AD19-016,LM16,2047,1515
AD19-017,LM1,2353,3118
AD19-017,LM2,2583,3197
AD19-017,LM3,2936,3284
AD19-017,LM4,3234,3213
AD19-017,LM5,3517,3179
AD19-017,LM6,3538,3071
AD19-017,LM7,3509,2961
AD19-017,LM8,3198,2958
AD19-017,LM9,3110,2915
AD19-017,LM10,2928,2852
AD19-017,LM11,2580,2924
AD19-017,LM12,2506,2944
AD19-017,LM13,2705,3040
AD19-017,LM14,2715,2971
AD19-017,LM15,2431,3098
AD19-017,LM16,2538,3107
AD19-018,LM1,2299,1424
AD19-018,LM2,2556,1539
AD19-018,LM3,3007,1657
AD19-018,LM4,3398,1577
AD19-018,LM5,3795,1536
AD19-018,LM6,3827,1396
AD19-018,LM7,3789,1244
AD19-018,LM8,3360,1236
AD19-018,LM9,3262,1204
AD19-018,LM10,3034,1149
AD19-018,LM11,2618,1197
AD19-018,LM12,2518,1218
AD19-018,LM13,2756,1347
AD19-018,LM14,2789,1267
AD19-018,LM15,2406,1401
AD19-018,LM16,2526,1404
AD19-019,LM1,2264,1003
AD19-019,LM2,2482,1077
AD19-019,LM3,2855,1149
AD19-019,LM4,3144,1080
AD19-019,LM5,3460,1048
AD19-019,LM6,3486,937
AD19-019,LM7,3437,828
AD19-019,LM8,3128,823
AD19-019,LM9,3052,776
AD19-019,LM10,2842,721
AD19-019,LM11,2510,796
AD19-019,LM12,2423,828
AD19-019,LM13,2616,885
AD19-019,LM14,2638,823
AD19-019,LM15,2347,970
AD19-019,LM16,2450,967
AD19-020,LM1,2205,3004
AD19-020,LM2,2472,3144
AD19-020,LM3,2912,3256
AD19-020,LM4,3303,3205
